                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5299,                 3.7868,                 1.5705,                0.09763,                0.12692,                0.05871,                0.03043,                 2.1305,                 3.6484,                 1.4111,             0.00023338,             0.00023338,             0.00023338
                      2,                 2.0742,                 3.4837,                 1.2912,                0.01324,                0.03913,                0.00699,                0.00189,                 1.9511,                 3.6927,                 1.4417,             0.00047386,             0.00047386,             0.00047386
                      3,                 2.0627,                  3.143,                 1.2397,                0.06101,                0.12346,                0.05162,                0.01794,                 1.9073,                 3.6204,                 1.3075,             0.00070443,             0.00070443,             0.00070443
                      4,                 2.0214,                 2.7826,                 1.1943,                0.09357,                0.16331,                0.08854,                0.03369,                 1.9047,                 3.5856,                 1.2584,             0.00092511,             0.00092511,             0.00092511
                      5,                 2.0555,                 2.4162,                 1.1836,                0.12893,                0.22485,                0.14806,                0.06595,                 1.9286,                 3.4149,                 1.2242,              0.0011359,              0.0011359,              0.0011359
                      6,                 2.0503,                 2.1338,                 1.1999,                 0.1416,                0.24765,                0.16063,                0.06922,                 2.0451,                  3.323,                 1.2597,              0.0013368,              0.0013368,              0.0013368
                      7,                 1.9953,                 1.9309,                 1.1801,                0.15777,                0.29473,                0.19772,                0.08533,                 2.1099,                 3.0531,                 1.2628,               0.001469,               0.001469,               0.001469
                      8,                 2.0232,                 1.7565,                 1.1664,                0.81801,                0.24633,                 0.2688,                0.12908,                 2.0452,                 2.4949,                 1.2231,               0.001436,               0.001436,               0.001436
                      9,                 1.9974,                 1.6306,                 1.1681,                0.84683,                0.27268,                0.29914,                0.14435,                 2.0531,                 2.1544,                 1.2278,              0.0014029,              0.0014029,              0.0014029
                     10,                  1.923,                 1.4893,                 1.1423,                 0.8748,                0.31034,                0.33994,                0.17241,                 1.9299,                 1.5979,                 1.2019,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.8738,                 1.4088,                 1.1334,                0.86345,                0.31557,                0.34617,                0.17704,                  1.848,                 1.4196,                 1.1785,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.8697,                 1.3735,                 1.1216,                 0.8434,                0.32752,                0.33558,                0.17314,                 1.7883,                 1.2836,                 1.1814,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.8261,                 1.2954,                 1.1207,                0.85829,                0.34022,                0.34634,                0.17823,                 1.7822,                 1.2768,                 1.1713,              0.0012709,              0.0012709,              0.0012709
