                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4309,                 3.7959,                 1.6051,                 0.0832,                0.11226,                 0.0494,                0.02729,                 2.0155,                  3.662,                 1.3652,             0.00023338,             0.00023338,             0.00023338
                      2,                 2.0543,                  3.498,                 1.3238,                0.01467,                0.03777,                0.00761,                0.00366,                 2.0354,                 3.6785,                 1.3738,             0.00047386,             0.00047386,             0.00047386
                      3,                 2.0681,                  3.184,                 1.2793,                0.04323,                0.11484,                0.03119,                 0.0093,                 2.1572,                 3.6999,                 1.3432,             0.00070443,             0.00070443,             0.00070443
                      4,                   2.02,                  2.826,                 1.2259,                0.10565,                 0.1913,                0.10819,                0.03902,                 2.0508,                  3.548,                 1.2444,             0.00092511,             0.00092511,             0.00092511
                      5,                 2.0758,                 2.4605,                 1.2206,                0.13953,                0.23903,                0.14426,                0.04985,                 2.0429,                 3.5146,                 1.2339,              0.0011359,              0.0011359,              0.0011359
                      6,                  2.082,                 2.1774,                 1.2372,                0.15429,                0.26489,                0.16631,                0.05902,                 2.2731,                 3.3763,                  1.309,              0.0013368,              0.0013368,              0.0013368
                      7,                 2.0301,                 1.9845,                 1.2218,                0.18041,                0.34182,                0.22294,                0.09245,                 2.3422,                 2.9956,                 1.3124,               0.001469,               0.001469,               0.001469
                      8,                 2.0581,                 1.7831,                 1.2097,                 0.7895,                0.23661,                 0.2446,                0.09311,                 2.3376,                  2.581,                  1.295,               0.001436,               0.001436,               0.001436
                      9,                 2.0761,                 1.6575,                 1.2201,                0.81144,                0.26438,                0.26969,                0.10498,                  2.344,                 2.2413,                 1.2832,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.9607,                  1.518,                  1.182,                0.85334,                0.30075,                0.32971,                  0.145,                 2.1693,                 1.6226,                 1.2504,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.9136,                 1.4336,                 1.1713,                0.83067,                0.31893,                0.32131,                0.13601,                 2.1361,                 1.4992,                 1.2473,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.9117,                 1.3847,                 1.1597,                0.79198,                0.33101,                0.30733,                0.12731,                 2.1516,                 1.4325,                 1.2703,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.8664,                 1.3235,                 1.1583,                0.84784,                0.32939,                0.33591,                0.13833,                 2.1505,                 1.3655,                 1.2641,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.8316,                 1.2642,                 1.1678,                0.86031,                0.33214,                0.35211,                0.15438,                 2.0355,                 1.3261,                 1.2335,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.8645,                  1.243,                 1.1421,                0.86134,                0.33064,                0.34421,                0.14861,                 2.0793,                 1.3068,                 1.2405,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.8183,                 1.2089,                 1.1328,                0.83474,                0.35391,                0.36013,                  0.166,                 1.8963,                 1.3049,                  1.191,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.8682,                 1.2044,                 1.1398,                0.85632,                0.33292,                0.36556,                0.16716,                 1.9737,                 1.2337,                  1.236,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.7862,                 1.1583,                 1.1307,                 0.8825,                0.34097,                0.37741,                0.17549,                 1.9571,                 1.1556,                  1.208,              0.0011059,              0.0011059,              0.0011059
